Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""manajemenRole/btnDetailRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:03,2022-11-03 22:42:04,0.889s,PASSED
"click(findTestObject(""manajemenRole/btnEditRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:04,2022-11-03 22:42:05,0.612s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:42:05,2022-11-03 22:42:05,0.703s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:42:05,2022-11-03 22:42:06,0.499s,PASSED
"click(findTestObject(""manajemenRole/checkEquipment""))",Chrome 107.0.0.0,,,2022-11-03 22:42:06,2022-11-03 22:42:06,0.505s,PASSED
"click(findTestObject(""manajemenRole/checkFacility""))",Chrome 107.0.0.0,,,2022-11-03 22:42:06,2022-11-03 22:42:07,0.533s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:42:07,2022-11-03 22:42:07,0.489s,PASSED
"click(findTestObject(""manajemenRole/checkSelisih""))",Chrome 107.0.0.0,,,2022-11-03 22:42:07,2022-11-03 22:42:08,0.500s,PASSED
"click(findTestObject(""manajemenRole/btnOkSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:08,2022-11-03 22:42:08,0.471s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:42:08,2022-11-03 22:42:11,3.004s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:42:11,2022-11-03 22:42:13,1.257s,PASSED
,,,,,,,
Test Cases/crudRole/hapusRole,Chrome 107.0.0.0,,,2022-11-03 22:42:13,2022-11-03 22:42:30,17.566s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:42:13,2022-11-03 22:42:17,3.851s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:42:17,2022-11-03 22:42:17,0.149s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:42:17,2022-11-03 22:42:18,0.947s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:42:18,2022-11-03 22:42:19,0.930s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:42:19,2022-11-03 22:42:19,0.390s,PASSED
